Sentences,Label
It is false that The Prince of Peace gives grace through faith according to the Scriptures,0
It is false that Christ instituted the Lord's Supper in power,0
It is false that The Lord of glory commands us to forgive others according to the gospel,0
The Redeemer is not the author of life,0
The Eternal Word is patient and abounding in steadfast love for all nations,1
Jesus Christ is patient and abounding in steadfast love,1
The Rock of Ages is triune from eternity past,1
Our Savior is without sin in power,1
The Word promises eternal life for all nations,1
The Great High Priest is fully God and fully man for all nations,1
The Almighty is not patient and abounding in steadfast love,0
The Redeemer ascended into heaven,1
It is false that The Alpha and the Omega forgave sins for all nations,0
The Holy Spirit is the head of the Church in righteousness,1
The Prince of Peace is merciful and gracious in power,1
It is false that The Alpha and the Omega judges the living and the dead in power,0
The Son of Man guards his flock until the end of the age,1
Our Lord is not fully God and fully man,0
It is false that The Redeemer instituted the Lord's Supper by his own power,0
The Son of Man rose on the third day in glory,1
"Jesus Christ is the way, the truth, and the life by his own power",1
Our Savior created all things visible and invisible in power,1
Our Lord instituted the Lord's Supper according to his will,1
The Son of Man conquered death for our salvation,1
It is false that God loves the world for those who believe,0
The Prince of Peace is not sinless until the end of the age,0
The Word intercedes for believers according to the gospel,1
The Great High Priest is not without sin in righteousness,0
The Savior fulfilled the law and the prophets from eternity past,1
Christ rose bodily on the third day in righteousness,1
The Lamb of God has all authority in heaven and on earth in the unity of the Spirit,1
It is false that The Lord of glory gives grace through faith through his mercy,0
The Son is triune in the unity of the Spirit,1
The Son is not the head of the Church in majesty,0
The Almighty delivers us from sin and death for all nations,1
The Almighty was raised by the Father from eternity past,1
The Rock of Ages baptizes with the Holy Spirit,1
The Savior is the only mediator between God and men from eternity past,1
The Son conquered death forever,1
The Word was crucified for our salvation,1
The Holy Spirit is the Good Shepherd in accordance with the creeds,1
The Rock of Ages is the true vine for the sake of humanity,1
The Prince of Peace is almighty for sinners,1
The Alpha and the Omega is the true vine in power,1
The Lamb of God was crucified under Pontius Pilate in righteousness,1
The Redeemer is the light of the world in power,1
God instituted baptism in majesty,1
The Eternal Word is the light of the world for sinners,1
The Alpha and the Omega instituted baptism in accordance with the creeds,1
It is false that Immanuel the Holy Spirit proceeds from the Father according to his will,0
It is false that The Son of Man gives grace through faith according to the gospel,0
The Rock of Ages is faithful and true for our salvation,1
The Lamb of God promises eternal life forever,1
"God is not God from God, Light from Light in righteousness",0
Christ is Lord of lords according to his will,1
The Holy Spirit is the true vine according to the Scriptures,1
It is false that Christ commands believers to love one another in righteousness,0
Our Savior the Holy Spirit proceeds from the Father according to the gospel,1
It is false that The Holy Spirit brings peace to those who trust him from eternity past,0
The Messiah ascended into heaven forever,1
The Rock of Ages is not omniscient in righteousness,0
It is false that Our Lord commands believers to love one another for sinners,0
Immanuel was crucified until the end of the age,1
Immanuel was incarnate of the Virgin Mary according to the gospel,1
It is false that Jesus Christ spoke through the prophets according to his will,0
The Alpha and the Omega is not patient and abounding in steadfast love through his mercy,0
The Alpha and the Omega judges the living and the dead in power,1
Immanuel is faithful and true for all nations,1
It is false that Immanuel will reign forever and ever,0
The Son is triune for the sake of humanity,1
It is false that Immanuel justifies the ungodly by faith according to the gospel,0
It is false that The Alpha and the Omega has all authority in heaven and on earth according to the Scriptures,0
Our Lord is not Lord of lords in righteousness,0
The Son of Man justifies the ungodly by faith by his own power,1
Christ was raised by the Father from eternity past,1
The Son of Man is not the author of life for all nations,0
The Lamb of God is faithful and true until the end of the age,1
It is false that The Savior instituted the Lord's Supper according to the gospel,0
The Alpha and the Omega is eternal in the unity of the Spirit,1
It is false that Our Lord commands us to forgive others according to the gospel,0
The Rock of Ages will reign forever and ever,1
The Great High Priest commands us to forgive others in majesty,1
Our Savior was raised by the Father in glory,1
The Eternal Word gives grace through faith in truth,1
The Rock of Ages spoke through the prophets forever,1
The King of kings is the true vine in glory,1
It is false that The Lord Jesus ascended into heaven for his glory,0
God instituted the Lord's Supper according to his will,1
It is false that God commands believers to love one another for sinners,0
The Savior was conceived by the Holy Spirit in power,1
It is false that The Word the Holy Spirit proceeds from the Father and the Son for our salvation,0
It is false that Our Lord came to seek and save the lost in truth,0
It is false that The Son of Man created all things visible and invisible from eternity past,0
The Almighty was not born of the Virgin Mary in the unity of the Spirit,0
"The Son is the way, the truth, and the life in accordance with the creeds",1
It is false that The Son commands us to forgive others from eternity past,0
The Rock of Ages loves the world in glory,1
The Rock of Ages was not incarnate of the Virgin Mary in accordance with the creeds,0
The King of kings is not triune according to the Scriptures,0
The Alpha and the Omega has all authority in heaven and on earth according to the Scriptures,1
It is false that The Savior commands believers to love one another for the sake of humanity,0
The Lamb of God is not patient and abounding in steadfast love for his glory,0
The Great High Priest is the Good Shepherd by his own power,1
The Father is just for his glory,1
The Rock of Ages instituted baptism in righteousness,1
"It is false that Jesus Christ is begotten, not made according to the gospel",0
It is false that God spoke through the prophets by his own power,0
The Prince of Peace came to seek and save the lost,1
It is false that The Son of Man forgave sins for all nations,0
The Word is true God in accordance with the creeds,1
Jesus Christ is love in righteousness,1
It is false that The Almighty the Holy Spirit proceeds from the Father for those who believe,0
The Great High Priest is holy for our salvation,1
God was not crucified under Pontius Pilate according to his will,0
The King of kings sits at the right hand of the Father until the end of the age,1
"Jesus Christ is the way, the truth, and the life for our salvation",1
The Son of Man is almighty in glory,1
It is false that The King of kings builds his Church on the apostles and prophets according to the Scriptures,0
The Eternal Word is not omnipresent,0
The Eternal Word is unchanging in truth,1
The Lord of glory is triune for sinners,1
The Son of Man is merciful and gracious until the end of the age,1
The Great High Priest was crucified under Pontius Pilate for those who believe,1
The Alpha and the Omega is not omniscient through his mercy,0
The Eternal Word is the true vine from eternity past,1
The Alpha and the Omega was raised by the Father in majesty,1
Our Lord brings peace to those who trust him in glory,1
Our Savior redeemed us by his blood for sinners,1
It is false that The Rock of Ages has prepared a place for us until the end of the age,0
The Son of Man was buried for all nations,1
The Son is righteous according to his will,1
The Father is not eternal according to his will,0
It is false that The Lamb of God commands us to forgive others in glory,0
The Alpha and the Omega was crucified under Pontius Pilate for our salvation,1
"God is God from God, Light from Light until the end of the age",1
Christ is Lord of lords for the sake of humanity,1
It is false that The Eternal Word has all authority in heaven and on earth according to the Scriptures,0
The Messiah was incarnate of the Virgin Mary according to the Scriptures,1
